case_id,activity,role,ts,status,approver,notes
CLM-4401,Claim Intake,Intake Clerk,2026-02-04T09:00:00-07:00,Open,,
CLM-4401,Triage & Assignment,Triage Specialist,2026-02-04T15:00:00-07:00,In Progress,,
CLM-4401,Doc Review,Adjuster,2026-02-04T23:00:00-07:00,In Progress,,
CLM-4401,Manager Approval,Claims Manager,2026-02-05T15:00:00-07:00,In Progress,M. Reyes,
CLM-4401,Payment,Finance,2026-02-07T07:00:00-07:00,In Progress,,
CLM-4401,Closure,Intake Clerk,2026-02-07T19:00:00-07:00,Closed-Disbursed,,
CLM-4402,Claim Intake,Intake Clerk,2026-02-06T09:00:00-07:00,Open,,
CLM-4402,Triage & Assignment,Triage Specialist,2026-02-06T15:00:00-07:00,In Progress,,
CLM-4402,Document Review,Adjuster,2026-02-06T23:00:00-07:00,In Progress,,
CLM-4402,Manager Approval,Claims Manager,2026-02-07T15:00:00-07:00,In Progress,M. Reyes,
CLM-4402,Payment,Finance,2026-02-09T07:00:00-07:00,In Progress,,
CLM-4402,Closure,Intake Clerk,2026-02-09T19:00:00-07:00,CLOSED,,
CLM-4403,Claim Intake,Intake Clerk,2026-02-08T09:00:00-07:00,Open,,
CLM-4403,Triage & Assignment,Triage Specialist,2026-02-08T15:00:00-07:00,In Progress,,
CLM-4403,Doc Review,Adjuster,2026-02-08T23:00:00-07:00,In Progress,,claimant SSN 412-55-9981 on file; DOB 1979-03-04 verified
CLM-4403,Exception Handling,Adjuster,2026-02-09T15:00:00-07:00,In Progress,,
CLM-4403,Doc Review,Adjuster,2026-02-10T09:00:00-07:00,In Progress,,claimant SSN 412-55-9981 on file; DOB 1979-03-04 verified
CLM-4403,Approval,Claims Manager,2026-02-11T01:00:00-07:00,In Progress,M. Reyes,
CLM-4403,Payment,Finance,2026-02-12T17:00:00-07:00,In Progress,,
CLM-4403,Closure,Intake Clerk,2026-02-13T05:00:00-07:00,Closed - Paid,,
CLM-4404,Claim Intake,Intake Clerk,2026-02-10T09:00:00-07:00,Open,,
CLM-4404,Triage & Assignment,Triage Specialist,2026-02-10T15:00:00-07:00,In Progress,,
CLM-4404,Document Review,Adjuster,2026-02-10T23:00:00-07:00,In Progress,,
CLM-4404,Manager Approval,Claims Manager,2026-02-11T15:00:00-07:00,In Progress,,
CLM-4404,Payment,Finance,2026-02-13T07:00:00-07:00,In Progress,,
CLM-4404,Closure,Intake Clerk,2026-02-13T19:00:00-07:00,Paid,,
CLM-4405,Claim Intake,Intake Clerk,2026-02-12T09:00:00-07:00,Open,,
CLM-4405,Triage & Assignment,Senior Adjuster,2026-02-12T15:00:00-07:00,In Progress,,
CLM-4405,Doc Review,Adjuster,2026-02-12T23:00:00-07:00,In Progress,,
CLM-4405,Manager Approval,Claims Manager,2026-02-13T15:00:00-07:00,In Progress,M. Reyes,
CLM-4405,Payment,Finance,2026-02-15T07:00:00-07:00,In Progress,,
CLM-4405,Closure,Intake Clerk,2026-02-15T19:00:00-07:00,Closed-Disbursed,,
CLM-4406,Claim Intake,Intake Clerk,2026-02-14T09:00:00-07:00,Open,,
CLM-4406,Triage & Assignment,Triage Specialist,2026-02-14T15:00:00-07:00,In Progress,,
CLM-4406,Document Review,Adjuster,2026-02-14T23:00:00-07:00,In Progress,,
CLM-4406,Approval,Claims Manager,2026-02-15T15:00:00-07:00,In Progress,M. Reyes,
CLM-4406,Payment,Finance,2026-02-17T07:00:00-07:00,In Progress,,
CLM-4406,Closure,Intake Clerk,2026-02-17T19:00:00-07:00,CLOSED,,
CLM-4407,Claim Intake,Intake Clerk,2026-02-16T09:00:00-07:00,Open,,
CLM-4407,Manager Approval,Claims Manager,2026-02-16T15:00:00-07:00,In Progress,,"fast-tracked small claim, skipped review per mgr"
CLM-4407,Payment,Finance,2026-02-18T07:00:00-07:00,In Progress,,
CLM-4407,Closure,Intake Clerk,2026-02-18T19:00:00-07:00,Closed - Paid,,
CLM-4408,Claim Intake,Intake Clerk,2026-02-18T09:00:00-07:00,Open,,
CLM-4408,Triage & Assignment,Triage Specialist,2026-02-18T15:00:00-07:00,In Progress,,
CLM-4408,Document Review,Adjuster,2026-02-18T23:00:00-07:00,In Progress,,
CLM-4408,Manager Approval,Claims Manager,2026-02-19T15:00:00-07:00,In Progress,M. Reyes,
CLM-4408,Payment,Finance,2026-02-21T07:00:00-07:00,In Progress,,
CLM-4408,Closure,Intake Clerk,2026-02-21T19:00:00-07:00,Paid,,
CLM-4409,Claim Intake,Intake Clerk,2026-02-20T09:00:00-07:00,Open,,
CLM-4409,Triage & Assignment,Triage Specialist,2026-02-20T15:00:00-07:00,In Progress,,
CLM-4409,Doc Review,Adjuster,2026-02-20T23:00:00-07:00,In Progress,,
CLM-4409,Exception Handling,Adjuster,2026-02-21T15:00:00-07:00,In Progress,,
CLM-4409,Doc Review,Adjuster,2026-02-22T09:00:00-07:00,In Progress,,
CLM-4409,Approval,Claims Manager,2026-02-23T01:00:00-07:00,In Progress,M. Reyes,
CLM-4409,Payment,Finance,2026-02-24T17:00:00-07:00,In Progress,,
CLM-4409,Closure,Intake Clerk,2026-02-25T05:00:00-07:00,Closed-Disbursed,,
CLM-4410,Claim Intake,Intake Clerk,2026-02-22T09:00:00-07:00,Open,,
CLM-4410,Triage & Assignment,Senior Adjuster,2026-02-22T15:00:00-07:00,In Progress,,
CLM-4410,Document Review,Adjuster,2026-02-22T23:00:00-07:00,In Progress,,
CLM-4410,Manager Approval,Claims Manager,2026-02-23T15:00:00-07:00,In Progress,M. Reyes,
CLM-4410,Payment,Finance,2026-02-25T07:00:00-07:00,In Progress,,
CLM-4410,Closure,Intake Clerk,2026-02-25T19:00:00-07:00,CLOSED,,
CLM-4411,Claim Intake,Intake Clerk,2026-02-24T09:00:00-07:00,Open,,
CLM-4411,Triage & Assignment,Triage Specialist,2026-02-24T15:00:00-07:00,In Progress,,
CLM-4411,Doc Review,Adjuster,2026-02-24T23:00:00-07:00,In Progress,,
CLM-4411,Manager Approval,Claims Manager,2026-02-25T15:00:00-07:00,In Progress,M. Reyes,
CLM-4411,Payment,Finance,2026-02-27T07:00:00-07:00,In Progress,,
CLM-4411,Closure,Intake Clerk,2026-02-27T19:00:00-07:00,Closed - Paid,,
CLM-4412,Claim Intake,Intake Clerk,2026-02-26T09:00:00-07:00,Open,,
CLM-4412,Triage & Assignment,Triage Specialist,2026-02-26T15:00:00-07:00,In Progress,,
CLM-4412,Document Review,Adjuster,2026-02-26T23:00:00-07:00,In Progress,,
CLM-4412,Approval,Claims Manager,2026-02-27T15:00:00-07:00,In Progress,M. Reyes,
CLM-4412,Payment,Finance,2026-03-01T07:00:00-07:00,In Progress,,
